14:01:20:480   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600828 日期:20151229,最高价:10.500,最低价:7.920,不满足区间:0.300
14:01:20:488   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600828
14:01:20:529   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600822 日期:20160301,最高价:14.760,最低价:11.000,不满足区间:0.300
14:01:20:533   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600822
14:01:20:551   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600821 日期:20160419,最高价:9.600,最低价:7.370,不满足区间:0.300
14:01:20:552   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600821
14:01:20:591   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600818 日期:20160420,最高价:45.300,最低价:33.830,不满足区间:0.300
14:01:20:605   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600818
14:01:20:623   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600815 日期:20160413,最高价:8.320,最低价:6.140,不满足区间:0.300
14:01:20:623   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600815
14:01:20:693   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600809 日期:20160504,最高价:21.750,最低价:16.060,不满足区间:0.300
14:01:20:695   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600809
14:01:20:723   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600807 日期:20160429,最高价:15.320,最低价:11.200,不满足区间:0.300
14:01:20:729   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600807
14:01:20:754   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   合约:600806 日期:20160421,最高价:11.500,最低价:8.510,不满足区间:0.300
14:01:20:755   新高突破买入153256b5-9939-4f2d-83f4-ecfc6e84d7d0   行情过滤 600806
