600000,浦发银行,19991110,16,1,18653470720.000000,18653470720.000000,4822629613568.000000,0.000000,17357000704.000000,802000000.000000,
600004,白云机场,20030428,12,8,1150000000.000000,1150000000.000000,11718328320.000000,2840583680.000000,6198758912.000000,20398100.000000,
600005,武钢股份,19990803,19,3,10093779968.000000,10093779968.000000,100370857984.000000,42427330560.000000,44815040512.000000,906010944.000000,
600006,东风汽车,19990727,19,7,2000000000.000000,2000000000.000000,20403677184.000000,13682042880.000000,3156331264.000000,666860480.000000,
600007,中国国贸,19990312,7,31,1007282496.000000,1007282496.000000,10100681728.000000,990286720.000000,1159701760.000000,1184096384.000000,
600008,首创股份,20000427,7,39,2410307072.000000,2410307072.000000,33415649280.000000,14285843456.000000,3290426624.000000,8962479104.000000,
600009,上海机场,19980218,16,8,1926958464.000000,1093476352.000000,24406126592.000000,11356490752.000000,9248251904.000000,336603520.000000,
600010,包钢股份,20010309,32,3,32560738304.000000,15742023680.000000,148110753792.000000,44545748992.000000,26259695616.000000,2037490432.000000,
600011,华能国际,20011206,7,16,15200384000.000000,10499999744.000000,297296691200.000000,30931810304.000000,190160142336.000000,12257662976.000000,
600012,皖通高速,20030107,24,6,1658610048.000000,1165600000.000000,11728532480.000000,996425600.000000,795437056.000000,9154683904.000000,
600015,华夏银行,20030912,7,1,10685572096.000000,7785224192.000000,1950115037184.000000,0.000000,10369999872.000000,86000000.000000,
600016,民生银行,20001219,7,1,36485349376.000000,29551769600.000000,4374847029248.000000,0.000000,35541999616.000000,5250999808.000000,
600017,日照港,20061017,15,8,3075653632.000000,3075653632.000000,18554503168.000000,3026247424.000000,10396300288.000000,965169280.000000,
600018,上港集团,20061026,16,8,23173675008.000000,22755180544.000000,97221410816.000000,19192963072.000000,33795186688.000000,13607882752.000000,
600019,宝钢股份,20001212,16,3,16467517440.000000,16424279040.000000,236583632896.000000,75220385792.000000,88217010176.000000,8954900480.000000,
600020,中原高速,20030808,13,6,2247371776.000000,2247371776.000000,44463931392.000000,5499618816.000000,15821983744.000000,7692484608.000000,
600021,上海电力,20031029,16,16,2139739264.000000,2139739264.000000,49752756224.000000,10236346368.000000,27318740992.000000,1075123200.000000,
600022,山东钢铁,20040629,15,3,8420422656.000000,6436295680.000000,60901281792.000000,20074342400.000000,34608336896.000000,153304192.000000,
600023,浙能电力,20131219,28,16,13600690176.000000,2987599616.000000,102113640448.000000,21625874432.000000,50294616064.000000,1867427328.000000,
600026,中海发展,20020523,16,8,4032032768.000000,2736032768.000000,67564081152.000000,6275198976.000000,44704706560.000000,16035601.000000,
600027,华电国际,20050203,15,16,9862976512.000000,5940056064.000000,205632536576.000000,26672664576.000000,129049862144.000000,14824546304.000000,
600028,中国石化,20010808,7,5,121071206400.000000,95557771264.000000,1404414066688.000000,337205985280.000000,690675056640.000000,78402002944.000000,
600029,南方航空,20030725,12,8,9817567232.000000,7022649856.000000,183862001664.000000,16012000256.000000,142664007680.000000,2646000128.000000,
600030,中信证券,20030106,18,1,12116909056.000000,9814662144.000000,644168089600.000000,0.000000,1048284544.000000,3940889088.000000,
600031,三一重工,20030703,21,26,7616503808.000000,7593706496.000000,60197888000.000000,36219445248.000000,15212444672.000000,4292261888.000000,
600033,福建高速,20010209,20,6,2744399872.000000,2744399872.000000,18942117888.000000,1128460288.000000,16384990208.000000,0.000000,
600035,楚天高速,20040310,19,6,1453377920.000000,1453377920.000000,9005871104.000000,514017312.000000,622299584.000000,7376562688.000000,
600036,招商银行,20020409,18,1,25219844096.000000,20628944896.000000,5222291734528.000000,0.000000,29979000832.000000,3348000000.000000,
600037,歌华有线,20010208,7,18,1391777792.000000,1168352000.000000,10471559168.000000,4740922368.000000,4177070592.000000,113689200.000000,
600038,中直股份,20001218,1,49,589476736.000000,392649984.000000,20178903040.000000,16537236480.000000,2498748416.000000,589168576.000000,
600039,四川路桥,20030325,23,21,3019732736.000000,3019732736.000000,54752780288.000000,28622831616.000000,2590277120.000000,17715556352.000000,
600048,保利地产,20060731,12,11,10756714496.000000,10756714496.000000,395823874048.000000,379127922688.000000,3058736640.000000,23054500.000000,
600050,中国联通,20021009,16,24,21196597248.000000,21196597248.000000,561683955712.000000,66389745664.000000,354135736320.000000,24561694720.000000,
600051,宁波联合,19970410,28,25,310880000.000000,305791904.000000,7776625664.000000,6142329344.000000,654574784.000000,80829600.000000,
600052,浙江广厦,19970415,28,11,871788992.000000,871788992.000000,9510099968.000000,8400656384.000000,215274192.000000,10348500.000000,
600053,九鼎投资,19970418,22,11,433540704.000000,433540704.000000,4592221184.000000,3169708032.000000,44603900.000000,1118900.000000,
600054,黄山旅游,19970506,24,10,498200000.000000,117620000.000000,3975813120.000000,1781051136.000000,1899731072.000000,76232200.000000,
600055,华润万东,19970519,7,9,241435808.000000,216450000.000000,1330090624.000000,687082496.000000,216821696.000000,37361800.000000,
600056,中国医药,19970515,7,12,1012513408.000000,982203456.000000,15446281216.000000,12732157952.000000,1457679232.000000,231682496.000000,
600057,象屿股份,19970604,20,8,1170779264.000000,553327104.000000,26518011904.000000,20914802688.000000,1347231744.000000,929013824.000000,
600058,五矿发展,19970528,7,13,1071910720.000000,1071910720.000000,48695459840.000000,34149607424.000000,9869048832.000000,1261492992.000000,
600059,古越龙山,19970516,28,37,808523968.000000,808523968.000000,4132330240.000000,2578090496.000000,1148977024.000000,149199504.000000,
600060,海信电器,19970422,15,23,1308481280.000000,1308481280.000000,20183853056.000000,17372401664.000000,1391319808.000000,208533008.000000,
